"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"simulacion3.nlogo"
"ParteA"
"07/23/2024 17:53:21:400 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","num-capacity","num-hospitals","num-ambulances","limit-capacity?","[step]","death-percentage","max-patient-counter"
"3","0","5","1","n","25816","61.69","425"
"6","0","5","1","n","23640","57.93","445"
"4","0","5","1","n","24350","59.08","454"
"5","0","5","1","n","25391","60.24","466"
"2","0","5","1","n","24527","58.76","456"
"7","0","5","1","n","23612","57.13","468"
"8","0","5","1","n","24899","57.92","463"
"9","0","5","1","n","25351","60.91","454"
"10","0","5","1","n","26129","60","459"
"1","0","5","1","n","25277","59.91","428"
"13","0","5","2","n","25425","29.69","887"
"11","0","5","2","n","26482","32.32","767"
"12","0","5","2","n","25365","27.53","743"
"14","0","5","2","n","26376","29.97","824"
"16","0","5","2","n","25669","27.05","864"
"15","0","5","2","n","25904","31.43","917"
"20","0","5","2","n","25569","26.24","779"
"17","0","5","2","n","26357","28.6","898"
"19","0","5","2","n","26537","30.87","767"
"18","0","5","2","n","25773","28.47","826"
"21","0","5","3","n","26516","13.15","1040"
"22","0","5","3","n","25410","8.67","1276"
"23","0","5","3","n","25925","11.22","1244"
"24","0","5","3","n","25854","8.74","1163"
"28","0","5","3","n","26297","9.12","1040"
"27","0","5","3","n","26019","10.76","1110"
"29","0","5","3","n","27421","13.32","1041"
"25","0","5","3","n","26185","8.48","1131"
"31","0","5","4","n","23759","1.43","1701"
"30","0","5","3","n","26063","7.67","1206"
"35","0","5","4","n","26027","0.88","1396"
"32","0","5","4","n","27646","1.99","1413"
"26","0","5","3","n","25615","11.46","1266"
"33","0","5","4","n","25223","0.34","1644"
"36","0","5","4","n","25374","0.82","1665"
"34","0","5","4","n","26637","1.64","1325"
"37","0","5","4","n","25421","0.35","1658"
"43","0","5","5","n","25437","0","1787"
"38","0","5","4","n","25921","2.58","1698"
"41","0","5","5","n","26800","0.04","1703"
"40","0","5","4","n","26994","1.93","1342"
"39","0","5","4","n","26596","0.59","1393"
"46","0","5","5","n","25853","0","1936"
"42","0","5","5","n","26225","0","1786"
"44","0","5","5","n","27067","0.02","1667"
"45","0","5","5","n","27433","0.02","1543"
"47","0","5","5","n","26777","0.02","1790"
"48","0","5","5","n","26978","0","1605"
"50","0","5","5","n","27448","0","1692"
"49","0","5","5","n","27457","0","1525"
